vertices,edges,exact_time,exact_size,greedy_time,greedy_size,random_time,random_size,greedy_local_improve_time,greedy_local_improve_size,greedy_brute_force_time,greedy_brute_force_size,recursive_time,recursive_size
5,10,1e-05,1,0.0,1,1e-05,1,1e-05,1,1e-05,1,1e-05,1
10,20,0.00024,5,2e-05,5,3e-05,4,2e-05,5,0.00023,5,0.00023,5
15,30,0.00803,6,4e-05,6,5e-05,5,5e-05,6,0.00801,6,0.00799,6
20,40,0.33059,9,5e-05,9,6e-05,9,6e-05,9,0.33196,9,0.333,9
25,50,,,7e-05,12,8e-05,11,9e-05,12,0.25255,12,0.00175,11
1000,2000,,,0.10247,470,0.03243,436,0.10594,473,0.34512,470,0.0069,398
2000,4000,,,0.4089,936,0.10882,878,0.40706,941,0.65034,936,0.02154,795
3000,6000,,,0.92326,1409,0.23191,1327,0.92935,1415,1.19931,1409,0.04711,1216
4000,8000,,,1.70116,1880,0.46224,1760,1.71265,1888,1.92234,1880,0.07953,1638
5000,10000,,,2.64378,2362,0.73982,2248,2.68255,2377,2.86218,2362,0.12898,2078
